22h05m17s	+14d44m
22h12m23s	+29d33m
22h14m38s	+30d00m
22h15m39s	+15d38m
22h23m03s	+29d23m
22h24m48s	+35d30m
22h27m30s	+30d36m
22h29m50s	+26d43m
22h34m23s	+06d11m
22h34m46s	+09d44m
22h34m56s	+21d14m
22h35m43s	+15d06m
22h43m09s	+15d18m
22h53m14s	+15d16m
23h05m58s	+31d00m
23h07m41s	+22d25m
23h17m09s	+14d39m
23h17m57s	+21d49m
23h22m22s	+20d57m
23h29m50s	+16d57m
23h40m45s	+08d33m
00h11m34s	+08d
00h23m16s	+09d
00h30m27s	+04d
00h48m33s	+34d
00h50m31s	+03d
00h51m30s	+04d
01h37m23s	+16d
01h46m15s	+31d
01h52m23s	+09d
01h56m01s	+04d
01h58m29s	+21d
02h20m50s	+36d
02h29m03s	+20d
02h41m46s	+16d
02h44m51s	+14d
02h51m08s	+26d
03h03m00s	+22d
03h04m33s	+19d
03h29m08s	+16d
03h37m43s	+17d
03h48m43s	+04d
03h57m52s	+32d
04h07m54s	+16d
04h17m43s	+35d
04h21m30s	+32d
04h35m51s	+27d
04h53m45s	+15d
04h57m06s	+23d
05h09m24s	+08d
05h17m17s	+22d
05h25m56s	+11d
05h28m52s	+22d
05h33m25s	+04d
05h34m31s	+22d
05h38m25s	+28d
05h40m37s	+32d
05h43m09s	+23d
05h44m12s	+20d
05h46m28s	+24d
05h50m28s	+09d
05h54m05s	+31d
05h57m31s	+15d
06h05m00s	+37d
06h08m49s	+00d
06h09m58s	+21d
06h11m00s	+37d
06h11m16s	+30d
06h11m18s	+04d
06h11m18s	+14d
06h12m48s	+37d
06h13m12s	+37d
06h14m17s	+22d
06h21m00s	+25d
06h21m11s	+03d
06h21m22s	+10d
06h22m10s	+37d
06h23m46s	+03d
06h25m45s	+10d
06h27m13s	+16d
06h27m44s	+07d
06h27m53s	+06d
06h28m36s	+09d
06h29m05s	+24d
06h30m04s	+19d
06h31m27s	+10d
06h31m52s	+06d
06h33m44s	+06d
06h33m54s	+17d
06h35m18s	+05d
06h46m30s	+09d
06h47m15s	+09d
06h58m15s	+00d
06h59m48s	+14d
07h11m36s	+09d
07h51m09s	+18d
07h54m40s	+32d
08h06m05s	+08d
08h15m08s	+09d
08h23m09s	+01d
08h24m16s	+00d
08h26m51s	+26d
08h37m05s	+06d
08h43m33s	+07d
08h48m53s	+16d
09h22m14s	+06d
09h27m45s	+23d
09h28m43s	+30d
09h28m44s	+06d
09h43m30s	+16d
09h43m32s	+22d
09h46m07s	+09d
09h47m21s	+27d
09h53m09s	+07d
10h10m00s	+15d
10h22m57s	+10d
10h23m47s	+00d
10h38m26s	+00d
10h46m43s	+03d
10h48m43s	+23d
11h36m03s	+15d
11h42m00s	+01d
12h38m23s	+21d
12h39m40s	+24d
12h46m49s	+22d
13h00m03s	+12d
13h01m38s	+08d
13h08m48s	+21d
13h12m00s	+00d
13h12m55s	+18d
13h13m23s	+09d
13h42m10s	+28d
13h42m11s	+28d
13h42m11s	+28d
13h42m11s	+28d
14h04m36s	+11d
14h11m18s	+25d
14h33m30s	+00d
14h53m45s	+19d
15h03m54s	+21d
15h18m31s	+02d
15h18m32s	+02d
15h18m33s	+02d
15h18m34s	+02d
15h18m34s	+02d
15h32m10s	+27d
15h37m09s	+11d
15h38m06s	+23d
15h43m38s	+09d
15h49m40s	+21d
15h54m17s	+18d
16h03m34s	+18d
16h05m18s	+32d
16h12m23s	+20d
16h14m40s	+07d
16h27m18s	+14d
16h30m00s	+37d
16h35m25s	+24d
16h40m16s	+22d
16h41m40s	+36d
16h41m41s	+36d
16h41m41s	+36d
16h41m41s	+36d
16h41m41s	+36d
16h45m34s	+10d
16h49m44s	+25d
16h52m03s	+26d
16h56m41s	+00d
17h09m05s	+23d
17h13m49s	+07d
17h17m56s	+03d
17h20m01s	+21d
17h20m55s	+00d
17h21m57s	+35d
17h36m54s	+05d
17h38m25s	+04d
17h38m53s	+03d
17h39m17s	+06d
17h40m07s	+13d
17h40m25s	+10d
17h41m31s	+13d
17h41m53s	+27d
17h43m16s	+05d
17h45m33s	+10d
17h46m00s	+22d
17h46m06s	+25d
17h49m29s	+16d
17h50m40s	+07d
17h52m35s	+23d
17h56m17s	+18d
17h58m25s	+30d
18h02m27s	+01d
18h02m44s	+03d
18h05m10s	+03d
18h05m55s	+06d
18h06m52s	+10d
18h07m25s	+04d
18h07m51s	+07d
18h08m19s	+00d
18h10m37s	+17d
18h11m20s	+07d
18h12m53s	+02d
18h13m38s	+18d
18h14m42s	+11d
18h19m56s	+13d
18h21m13s	+17d
18h21m38s	+01d
18h22m14s	+11d
18h22m18s	+07d
18h23m30s	+05d
18h24m05s	+10d
18h25m15s	+00d
18h28m28s	+06d
18h28m53s	+13d
18h29m34s	+24d
18h29m47s	+00d
18h32m50s	+00d
18h34m27s	+10d
18h37m07s	+12d
18h37m28s	+00d
18h38m43s	+16d
18h39m00s	+15d
18h40m34s	+02d
18h41m17s	+01d
18h41m55s	+09d
18h42m10s	+06d
18h42m17s	+03d
18h42m29s	+13d
18h42m30s	+02d
18h43m26s	+20d
18h44m11s	+00d
18h44m40s	+01d
18h44m54s	+14d
18h45m08s	+06d
18h46m26s	+09d
18h46m43s	+00d
18h48m30s	+12d
18h48m42s	+03d
18h48m43s	+08d
18h48m54s	+06d
18h48m56s	+06d
18h49m03s	+04d
18h49m34s	+24d
18h49m44s	+01d
18h50m01s	+01d
18h50m09s	+15d
18h50m23s	+04d
18h50m35s	+13d
18h50m41s	+02d
18h50m45s	+00d
18h51m03s	+04d
18h51m09s	+02d
18h51m13s	+12d
18h51m52s	+01d
18h52m27s	+00d
18h52m32s	+03d
18h52m38s	+00d
18h52m41s	+00d
18h52m42s	+00d
18h52m46s	+00d
18h53m00s	+03d
18h53m04s	+05d
18h53m22s	+08d
18h53m29s	+00d
18h53m32s	+00d
18h53m57s	+13d
18h53m58s	+05d
18h54m00s	+03d
18h54m02s	+03d
18h54m29s	+03d
18h54m29s	+10d
18h55m15s	+05d
18h55m17s	+07d
18h55m26s	+03d
18h55m38s	+03d
18h55m41s	+04d
18h55m42s	+02d
18h56m10s	+01d
18h56m26s	+04d
18h56m28s	+01d
18h56m50s	+02d
18h57m00s	+00d
18h57m09s	+08d
18h57m15s	+05d
18h57m16s	+03d
18h57m33s	+01d
18h57m36s	+09d
18h57m40s	+02d
18h57m43s	+02d
18h58m00s	+02d
18h58m17s	+02d
18h58m22s	+03d
18h58m40s	+03d
18h58m53s	+02d
18h59m42s	+06d
18h59m44s	+15d
18h59m45s	+06d
18h59m46s	+00d
19h00m13s	+04d
19h00m18s	+30d
19h00m28s	+06d
19h00m38s	+02d
19h00m50s	+03d
19h01m03s	+03d
19h01m05s	+06d
19h01m10s	+04d
19h01m15s	+02d
19h01m17s	+04d
19h01m26s	+02d
19h01m30s	+03d
19h01m31s	+03d
19h01m32s	+00d
19h01m32s	+04d
19h01m34s	+01d
19h01m38s	+07d
19h01m42s	+05d
19h01m48s	+13d
19h01m52s	+01d
19h01m57s	+05d
19h01m59s	+03d
19h02m00s	+02d
19h02m13s	+07d
19h02m42s	+05d
19h02m50s	+02d
19h02m50s	+06d
19h03m00s	+04d
19h03m05s	+03d
19h03m20s	+06d
19h03m29s	+01d
19h03m52s	+22d
19h03m55s	+09d
19h03m55s	+06d
19h04m02s	+10d
19h04m03s	+08d
19h04m07s	+07d
19h04m12s	+00d
19h04m31s	+04d
19h04m59s	+04d
19h05m04s	+06d
19h05m06s	+06d
19h05m15s	+01d
19h05m19s	+09d
19h05m28s	+04d
19h05m53s	+07d
19h06m00s	+07d
19h06m11s	+06d
19h06m28s	+09d
19h06m31s	+07d
19h06m35s	+06d
19h06m44s	+18d
19h06m48s	+00d
19h06m48s	+07d
19h06m56s	+05d
19h06m57s	+04d
19h07m00s	+05d
19h07m01s	+08d
19h07m03s	+06d
19h07m10s	+12d
19h07m14s	+09d
19h07m14s	+03d
19h07m17s	+02d
19h07m22s	+09d
19h07m23s	+05d
19h07m37s	+11d
19h07m42s	+02d
19h07m44s	+07d
19h07m54s	+06d
19h07m54s	+07d
19h08m05s	+05d
19h08m07s	+09d
19h08m16s	+04d
19h08m17s	+07d
19h08m18s	+08d
19h08m20s	+08d
19h08m31s	+23d
19h08m58s	+09d
19h09m08s	+07d
19h09m18s	+18d
19h09m19s	+09d
19h09m26s	+14d
19h09m29s	+06d
19h09m31s	+11d
19h09m32s	+21d
19h09m35s	+00d
19h09m38s	+02d
19h09m48s	+11d
19h09m51s	+06d
19h10m00s	+10d
19h10m09s	+03d
19h10m09s	+12d
19h10m10s	+02d
19h10m13s	+12d
19h10m18s	+07d
19h10m22s	+07d
19h10m26s	+05d
19h10m37s	+51d
19h11m00s	+09d
19h11m00s	+10d
19h11m11s	+01d
19h11m12s	+01d
19h11m48s	+00d
19h11m55s	+13d
19h11m55s	+17d
19h12m18s	+25d
19h12m43s	+21d
19h12m46s	+10d
19h13m00s	+06d
19h13m00s	+11d
19h13m00s	+08d
19h13m03s	+10d
19h13m17s	+13d
19h13m20s	+10d
19h13m21s	+09d
19h13m24s	+14d
19h13m27s	+37d
19h13m29s	+11d
19h13m32s	+06d
19h13m35s	+10d
19h13m43s	+11d
19h13m50s	+04d
19h13m52s	+09d
19h14m10s	+11d
19h14m17s	+06d
19h14m17s	+07d
19h14m18s	+08d
19h14m23s	+02d
19h15m00s	+11d
19h15m00s	+11d
19h15m01s	+07d
19h15m02s	+02d
19h15m13s	+08d
19h15m19s	+16d
19h15m24s	+07d
19h15m27s	+16d
19h15m29s	+10d
19h15m35s	+14d
19h16m11s	+10d
19h16m19s	+08d
19h16m20s	+12d
19h16m24s	+08d
19h16m32s	+09d
19h16m36s	+10d
19h16m51s	+07d
19h16m58s	+13d
19h17m23s	+17d
19h17m39s	+13d
19h17m44s	+22d
19h17m48s	+08d
19h18m00s	+13d
19h18m07s	+15d
19h18m23s	+14d
19h19m09s	+16d
19h19m32s	+13d
19h19m43s	+17d
19h19m43s	+01d
19h19m50s	+00d
19h20m13s	+11d
19h20m38s	+26d
19h20m55s	+10d
19h21m00s	+16d
19h21m03s	+19d
19h21m24s	+14d
19h21m44s	+21d
19h21m46s	+15d
19h21m47s	+08d
19h21m51s	+20d
19h22m08s	+20d
19h22m50s	+11d
19h22m53s	+17d
19h22m53s	+21d
19h23m07s	+17d
19h23m22s	+25d
19h24m00s	+16d
19h24m00s	+17d
19h24m03s	+16d
19h24m40s	+20d
19h24m54s	+16d
19h25m26s	+19d
19h25m27s	+17d
19h26m00s	+16d
19h26m18s	+20d
19h26m22s	+19d
19h26m24s	+04d
19h26m33s	+07d
19h26m45s	+16d
19h26m57s	+14d
19h27m08s	+22d
19h27m10s	+18d
19h27m24s	+18d
19h27m25s	+09d
19h28m05s	+19d
19h28m06s	+14d
19h28m20s	+15d
19h28m42s	+17d
19h29m04s	+21d
19h29m10s	+13d
19h29m16s	+18d
19h29m17s	+19d
19h29m18s	+16d
19h29m28s	+00d
19h29m32s	+19d
19h30m00s	+14d
19h30m00s	+13d
19h30m30s	+18d
